City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Tasiilaq,GL,50.16,clear sky,65.6145,-37.6368,The Red House
2,East London,ZA,61.92,few clouds,-33.0153,27.9116,Tu Casa
5,Puerto Escondido,MX,85.03,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
6,Manuk Mangkaw,PH,82.74,overcast clouds,4.8,119.85,
8,Hilo,US,80.8,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
9,Tuktoyaktuk,CA,55.4,overcast clouds,69.4541,-133.0374,End of The Road Ltd.
10,Vidim,RU,53.1,overcast clouds,56.4088,103.1106,
11,Vaini,TO,71.76,moderate rain,-21.2,-175.2,Keleti Beach Resort
12,Muli,MV,82.87,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
14,Garowe,SO,85.41,broken clouds,8.4054,48.4845,Curubo Hotel
15,Derzhavinsk,KZ,73.31,clear sky,51.1,66.3167,Ooo.khim Baza
16,Cape Town,ZA,57.88,heavy intensity rain,-33.9258,18.4232,Southern Sun Waterfront Cape Town
19,Khatanga,RU,60.82,overcast clouds,71.9667,102.5,"Gostinitsa ""Zapolyar'ye"""
21,Kaltasy,RU,72.77,very heavy rain,55.9693,54.8032,Avtostantsiya
22,Margate,GB,60.96,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
24,Narsaq,GL,57.42,few clouds,60.9167,-46.05,Narsaq Kayak Hostel
25,Saint-Philippe,RE,71.19,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
26,Yellowknife,CA,86.32,broken clouds,62.456,-114.3525,The Explorer Hotel
27,Hasaki,JP,70.29,heavy intensity rain,35.7333,140.8333,Hotel Sunrise Choshi
28,Ribeira Grande,PT,68.4,broken clouds,38.5167,-28.7,Quinta da Meia Eira
29,Lagoa,PT,68.41,overcast clouds,39.05,-27.9833,Casa Das Faias
30,Sorland,NO,51.66,overcast clouds,67.667,12.6934,Sjybrygga fiskecamp
31,Cidreira,BR,52.25,broken clouds,-30.1811,-50.2056,Hotel Castelo
32,Rikitea,PF,73.58,light rain,-23.1203,-134.9692,People ThankYou
36,Grindavik,IS,53.55,overcast clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
37,Lianran,CN,63.14,light rain,24.9227,102.485,半岛酒店
38,Emerald,AU,60.35,overcast clouds,-23.5333,148.1667,The Irish Village
40,Butaritari,KI,82.9,light rain,3.0707,172.7902,Isles Sunset Lodge
41,Saint-Joseph,RE,70.18,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
42,Caravelas,BR,73.83,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
44,Miri,MY,77.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
45,Kuantan,MY,78.91,few clouds,3.8077,103.326,Hotel Sentral Kuantan
47,Hay River,CA,73.36,scattered clouds,60.8156,-115.7999,Ptarmigan Inn
48,Nabire,ID,75.22,broken clouds,-3.3667,135.4833,Hotel Nusantara Nabire
50,Bolu,TR,66.11,clear sky,40.6667,31.5833,Sefa Green Hotel
51,Muros,ES,72.68,clear sky,42.7762,-9.0603,Apartment Av. Castelao
52,Sao Filipe,CV,73.71,few clouds,14.8961,-24.4956,Hotel Xaguate
53,Hithadhoo,MV,82.81,moderate rain,-0.6,73.0833,Scoop Guest House
54,Atuona,PF,78.62,overcast clouds,-9.8,-139.0333,Villa Enata
55,Kapaa,US,84.52,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
56,Bataipora,BR,59.85,clear sky,-22.2953,-53.2711,Hotel Vale do Ivinhema
57,Saldanha,ZA,57.25,light rain,-33.0117,17.9442,Blue Bay Lodge
58,Leh,IN,58.87,clear sky,34.1667,77.5833,Hotel Ladakh Greens
60,Cayenne,GF,81.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
61,Paka,MY,75.13,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA
62,Thompson,CA,77.16,few clouds,55.7435,-97.8558,Burntwood Hotel
63,North Bend,US,65.16,overcast clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
64,Constitucion,CL,55.53,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
65,Lebu,CL,52.88,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
66,Carnarvon,AU,51.87,clear sky,-24.8667,113.6333,Hospitality Carnarvon
67,Luderitz,,57.69,clear sky,-26.6481,15.1594,LÜDERITZ NEST HOTEL
68,Husavik,IS,66.11,clear sky,66.0449,-17.3389,Bjarnabúð
69,Mackay,AU,68.68,overcast clouds,-21.15,149.2,International Lodge Motel
70,Bengkulu,ID,77.22,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
71,Sao Jose Dos Pinhais,BR,55.74,clear sky,-25.5347,-49.2064,Mercure Curitiba Aeroporto Hotel
72,Periyapatti,IN,78.01,overcast clouds,10.75,77.2667,
74,Antsohihy,MG,70.65,broken clouds,-14.8796,47.9875,Hotel de Ville
80,Jamestown,US,78.39,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
81,Salalah,OM,82.49,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
82,Hermanus,ZA,59.81,moderate rain,-34.4187,19.2345,Misty Waves Boutique Hotel
83,Avarua,CK,78.85,scattered clouds,-21.2078,-159.775,Paradise Inn
85,Pyapon,MM,79.09,overcast clouds,16.2833,95.6833,Aung Naing Thu Motel
86,Gubkinskiy,RU,58.71,overcast clouds,64.434,76.5026,MonarcH
88,Tamluk,IN,80.58,heavy intensity rain,22.3,87.9167,Green Valley Resort
90,Benghazi,LY,83.84,clear sky,32.1167,20.0667,Tibesti Hotel
91,Vanavara,RU,56.28,overcast clouds,60.34,102.2797,
92,Sistranda,NO,58.96,broken clouds,63.7256,8.834,Hotell Frøya
93,Davila,PH,81.73,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
94,Mar Del Plata,AR,50.13,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
95,Itaqui,BR,52.99,clear sky,-29.1253,-56.5531,HOTEL BIASI - ITAQUI/RS
97,Kodiak,US,53.11,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
98,Mahibadhoo,MV,82.72,few clouds,3.7833,72.9667,Omadhoo Inn
99,Isangel,VU,69.76,scattered clouds,-19.55,169.2667,Tanna Lodge
100,Etchoropo,MX,80.49,overcast clouds,26.7667,-109.6667,Campo de Andrés cruz jusaino
102,San Patricio,US,89.69,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
