City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3hrs),Snow inches (last 3hrs)
0,Tasiilaq,GL,2021-06-30 19:37:10,65.6145,-37.6368,50.16,61,0,7.74,clear sky,0.0,0.0
1,Hobart,AU,2021-06-30 19:37:11,-42.8794,147.3294,47.26,90,20,1.99,few clouds,0.0,0.0
2,East London,ZA,2021-06-30 19:37:11,-33.0153,27.9116,61.92,53,24,5.64,few clouds,0.0,0.0
3,Barrow,US,2021-06-30 19:35:01,71.2906,-156.7887,33.82,80,90,6.91,overcast clouds,0.0,0.0
4,Mataura,NZ,2021-06-30 19:37:11,-46.1927,168.8643,37.47,97,90,2.24,overcast clouds,0.0,0.0
5,Puerto Escondido,MX,2021-06-30 19:37:12,15.85,-97.0667,85.03,54,75,6.91,broken clouds,0.0,0.0
6,Manuk Mangkaw,PH,2021-06-30 19:37:12,4.8,119.85,82.74,71,91,2.35,overcast clouds,0.0,0.0
7,Srednekolymsk,RU,2021-06-30 19:37:12,67.45,153.6833,43.83,63,7,11.32,clear sky,0.0,0.0
8,Hilo,US,2021-06-30 19:37:13,19.7297,-155.09,80.8,81,90,8.05,light rain,0.0,0.0
9,Tuktoyaktuk,CA,2021-06-30 19:37:13,69.4541,-133.0374,55.4,67,90,3.44,overcast clouds,0.0,0.0
10,Vidim,RU,2021-06-30 19:37:13,56.4088,103.1106,53.1,91,98,0.56,overcast clouds,0.0,0.0
11,Vaini,TO,2021-06-30 19:37:14,-21.2,-175.2,71.76,100,75,6.91,moderate rain,0.0,0.0
12,Muli,MV,2021-06-30 19:37:14,2.9167,73.5667,82.87,75,92,11.81,overcast clouds,0.0,0.0
13,Niono,ML,2021-06-30 19:37:14,14.2526,-5.993,97.23,27,87,6.44,overcast clouds,0.0,0.0
14,Garowe,SO,2021-06-30 19:37:15,8.4054,48.4845,85.41,32,63,22.19,broken clouds,0.0,0.0
15,Derzhavinsk,KZ,2021-06-30 19:37:15,51.1,66.3167,73.31,41,0,8.72,clear sky,0.0,0.0
16,Cape Town,ZA,2021-06-30 19:35:32,-33.9258,18.4232,57.88,89,90,8.01,heavy intensity rain,0.0,0.0
17,Qaanaaq,GL,2021-06-30 19:37:16,77.484,-69.3632,37.62,78,94,6.53,overcast clouds,0.0,0.0
18,Busselton,AU,2021-06-30 19:37:16,-33.65,115.3333,48.04,81,35,8.88,scattered clouds,0.0,0.0
19,Khatanga,RU,2021-06-30 19:37:16,71.9667,102.5,60.82,55,100,5.64,overcast clouds,0.0,0.0
20,Bluff,NZ,2021-06-30 19:37:16,-46.6,168.3333,37.8,87,98,7.11,overcast clouds,0.0,0.0
21,Kaltasy,RU,2021-06-30 19:37:17,55.9693,54.8032,72.77,83,32,6.4,very heavy rain,0.0,0.0
22,Margate,GB,2021-06-30 19:37:17,51.3813,1.3862,60.96,82,100,3.0,overcast clouds,0.0,0.0
23,Longyearbyen,SJ,2021-06-30 19:37:18,78.2186,15.6401,44.44,81,75,3.44,light rain,0.0,0.0
24,Narsaq,GL,2021-06-30 19:37:18,60.9167,-46.05,57.42,64,11,7.74,few clouds,0.0,0.0
25,Saint-Philippe,RE,2021-06-30 19:37:18,-21.3585,55.7679,71.19,85,47,13.33,light rain,0.0,0.0
26,Yellowknife,CA,2021-06-30 19:37:19,62.456,-114.3525,86.32,44,75,4.61,broken clouds,0.0,0.0
27,Hasaki,JP,2021-06-30 19:37:19,35.7333,140.8333,70.29,87,100,9.8,heavy intensity rain,0.0,0.0
28,Ribeira Grande,PT,2021-06-30 19:37:19,38.5167,-28.7,68.4,94,75,16.11,broken clouds,0.0,0.0
29,Lagoa,PT,2021-06-30 19:37:19,39.05,-27.9833,68.41,86,100,18.92,overcast clouds,0.0,0.0
30,Sorland,NO,2021-06-30 19:37:20,67.667,12.6934,51.66,85,89,15.57,overcast clouds,0.0,0.0
31,Cidreira,BR,2021-06-30 19:37:20,-30.1811,-50.2056,52.25,81,74,15.12,broken clouds,0.0,0.0
32,Rikitea,PF,2021-06-30 19:37:21,-23.1203,-134.9692,73.58,79,6,10.94,light rain,0.0,0.0
33,Ushuaia,AR,2021-06-30 19:36:40,-54.8,-68.3,42.42,87,20,4.61,few clouds,0.0,0.0
34,Adrar,MR,2021-06-30 19:37:21,20.5022,-10.0711,97.86,9,25,12.03,scattered clouds,0.0,0.0
35,Albany,US,2021-06-30 19:35:16,42.6001,-73.9662,90.54,70,23,14.99,light rain,0.0,0.0
36,Grindavik,IS,2021-06-30 19:37:21,63.8424,-22.4338,53.55,93,90,19.57,overcast clouds,0.0,0.0
37,Lianran,CN,2021-06-30 19:37:22,24.9227,102.485,63.14,98,100,1.97,light rain,0.0,0.0
38,Emerald,AU,2021-06-30 19:37:22,-23.5333,148.1667,60.35,79,100,8.23,overcast clouds,0.0,0.0
39,Palmer,US,2021-06-30 19:37:23,42.1584,-72.3287,98.65,48,75,8.05,broken clouds,0.0,0.0
40,Butaritari,KI,2021-06-30 19:37:23,3.0707,172.7902,82.9,74,11,15.43,light rain,0.0,0.0
41,Saint-Joseph,RE,2021-06-30 19:37:23,-21.3667,55.6167,70.18,81,23,13.24,light rain,0.0,0.0
42,Caravelas,BR,2021-06-30 19:37:24,-17.7125,-39.2481,73.83,77,8,12.33,clear sky,0.0,0.0
43,Geraldton,AU,2021-06-30 19:37:24,-28.7667,114.6,46.81,87,0,9.22,clear sky,0.0,0.0
