City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Barrow,US,2021-06-28 20:41:19,71.2906,-156.7887,33.82,80,90,9.22
1,Sao Gabriel Da Cachoeira,BR,2021-06-28 20:41:20,-0.1303,-67.0892,79.77,89,78,0.78
2,Jamestown,US,2021-06-28 20:41:09,42.097,-79.2353,89.1,83,75,6.91
3,Mahon,ES,2021-06-28 20:41:20,39.8885,4.2658,73.96,83,0,4.61
4,Cape Town,ZA,2021-06-28 20:41:20,-33.9258,18.4232,52.09,91,75,4.61
5,Nikolskoye,RU,2021-06-28 20:41:21,59.7035,30.7861,69.69,89,100,8.37
6,Kapaa,US,2021-06-28 20:41:21,22.0752,-159.319,84.52,70,40,4.0
7,Hilo,US,2021-06-28 20:41:22,19.7297,-155.09,83.25,62,20,6.91
8,Bluff,NZ,2021-06-28 20:41:22,-46.6,168.3333,41.81,55,15,20.22
9,Bathsheba,BB,2021-06-28 20:41:23,13.2167,-59.5167,86.61,58,40,21.85
10,Mataura,NZ,2021-06-28 20:41:23,-46.1927,168.8643,41.49,80,21,6.02
11,Bethel,US,2021-06-28 20:41:23,41.3712,-73.414,96.1,59,1,12.66
12,Mar Del Plata,AR,2021-06-28 20:41:08,-38.0023,-57.5575,49.12,62,90,18.99
13,Rudbar,AF,2021-06-28 20:41:24,30.15,62.6,86.95,10,0,4.52
14,Tonj,SS,2021-06-28 20:41:24,7.2737,28.6822,74.52,85,97,6.46
15,Cherskiy,RU,2021-06-28 20:41:25,68.75,161.3,77.92,33,67,10.87
16,Atuona,PF,2021-06-28 20:41:25,-9.8,-139.0333,79.2,71,0,20.45
17,Qaqortoq,GL,2021-06-28 20:41:25,60.7167,-46.0333,50.5,97,100,4.76
18,Nemuro,JP,2021-06-28 20:41:26,43.3236,145.575,53.89,95,100,5.66
19,Sibolga,ID,2021-06-28 20:41:26,1.7427,98.7792,74.5,90,81,2.75
20,Tura,IN,2021-06-28 20:41:26,25.5198,90.2201,74.44,98,93,6.38
21,Biak,ID,2021-06-28 20:41:27,-0.9131,122.8766,74.46,86,25,5.95
22,Narsaq,GL,2021-06-28 20:41:27,60.9167,-46.05,50.22,98,100,5.5
23,Busselton,AU,2021-06-28 20:41:27,-33.65,115.3333,51.08,77,100,20.2
24,Nizhnyaya Tavda,RU,2021-06-28 20:41:28,57.6731,66.1725,63.25,72,63,6.55
25,Carnarvon,AU,2021-06-28 20:41:28,-24.8667,113.6333,51.87,68,75,4.61
26,Faanui,PF,2021-06-28 20:41:28,-16.4833,-151.75,80.74,69,80,16.62
27,Aranos,NA,2021-06-28 20:41:29,-24.1333,19.1167,59.43,25,1,9.57
28,Atasu,KZ,2021-06-28 20:41:29,48.6814,71.6433,70.48,45,0,5.59
29,Tasiilaq,GL,2021-06-28 20:41:29,65.6145,-37.6368,41.16,95,100,14.03
30,Ushuaia,AR,2021-06-28 20:41:30,-54.8,-68.3,42.46,70,20,13.8
31,Norman Wells,CA,2021-06-28 20:41:30,65.282,-126.8329,82.44,39,20,11.5
32,Rikitea,PF,2021-06-28 20:41:31,-23.1203,-134.9692,74.71,73,100,7.9
33,Ponta Do Sol,PT,2021-06-28 20:41:31,32.6667,-17.1,72.23,72,0,2.21
34,Longyearbyen,SJ,2021-06-28 20:41:31,78.2186,15.6401,40.84,75,75,16.11
35,Mahebourg,MU,2021-06-28 20:41:32,-20.4081,57.7,71.89,78,20,10.36
36,Oussouye,SN,2021-06-28 20:41:32,12.485,-16.5469,87.98,81,31,9.57
